dataset_name,group,winner,acc_iclv2_ensmble32,acc_ttt_step8,delta_pp,delta_correct_est,change_strength,n_train_iclv2_ensmble32,n_test_compare,n_features_iclv2_ensmble32,n_classes_iclv2_ensmble32,task_type_iclv2_ensmble32,acc_bin,train_bin,feature_bin,class_bin,n_num_features_json,n_cat_features_json,feature_modality,imbalance_ratio,imbalance_bin,source_family,domain_tag,ttt_applied_bool,ttt_steps,ttt_split_reason,analysis_reason,recommendation,source,info_json_path
kdd_ipums_la_97-small,ICLv2更高,iclv2_ensmble32,0.8853564547206165,0.884393063583815,-0.096339113680155,-1.000000000000009,weak,4150,1038,20,2,binclass,0.8-0.9,1k-5k,11-30,2,20,0,numeric_only,1.0,<=1.2,openml,other,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；下降幅度很小，更像局部样本波动；纯数值特征占主导；类别较均衡,净错样本很少；先用多 seed 判断是否为评测离散波动。,https://www.openml.org/search?type=data&status=active&id=44124&sort=runs,data178/kdd_ipums_la_97-small/info.json
churn,ICLv2更高,iclv2_ensmble32,0.967,0.966,-0.1,-1.0000000000000009,weak,4000,1000,20,2,binclass,>0.95,1k-5k,11-30,2,16,4,mixed,6.072135785007072,>5,openml,business/customer/finance,True,8,stratified split,TTT 实际执行；ICLv2 已接近 ceiling，剩余 headroom 小；下降幅度很小，更像局部样本波动；数值+类别混合，类别编码稳定性会影响 TTT；类别不平衡明显,净错样本很少；先用多 seed 判断是否为评测离散波动。,https://www.openml.org/search?type=data&status=active&id=40701&sort=runs,data178/churn/info.json
Click_prediction_small,ICLv2更高,iclv2_ensmble32,0.7178973717146433,0.7168961201501878,-0.1001251564455518,-7.999999999999594,weak,31958,7990,3,2,binclass,0.7-0.8,>20k,<=10,2,3,0,numeric_only,,unknown,openml,business/customer/finance,True,8,stratified split,TTT 实际执行；ICLv2 有中等 headroom，TTT 可能修正也可能过拟合；下降幅度很小，更像局部样本波动；纯数值特征占主导,需要保护性选择器；不要在此类样本上无条件使用 step8。,https://www.openml.org/search?type=data&status=any&sort=runs&order=desc&id=1220,data178/Click_prediction_small/info.json
dry_bean_dataset,ICLv2更高,iclv2_ensmble32,0.9287550495776716,0.927653323540213,-0.1101726037458616,-2.9999999999998135,weak,10888,2723,16,7,multiclass,0.9-0.95,5k-20k,11-30,6-10,16,0,numeric_only,,unknown,uci,scientific/health/environment,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；下降幅度很小，更像局部样本波动；纯数值特征占主导,需要保护性选择器；不要在此类样本上无条件使用 step8。,https://archive.ics.uci.edu/dataset/602/dry+bean+dataset,data178/dry_bean_dataset/info.json
htru,ICLv2更高,iclv2_ensmble32,0.9807262569832402,0.979608938547486,-0.1117318435754244,-4.0000000000001945,weak,14318,3580,8,2,binclass,>0.95,5k-20k,<=10,2,8,0,numeric_only,,unknown,uci,other,True,8,stratified split,TTT 实际执行；ICLv2 已接近 ceiling，剩余 headroom 小；下降幅度很小，更像局部样本波动；纯数值特征占主导,需要保护性选择器；不要在此类样本上无条件使用 step8。,https://archive.ics.uci.edu/dataset/372/htru2,data178/htru/info.json
FOREX_audcad-hour-High,ICLv2更高,iclv2_ensmble32,0.7176269252709641,0.7164860239589276,-0.1140901312036479,-9.999999999999744,weak,35060,8765,10,2,binclass,0.7-0.8,>20k,<=10,2,10,0,numeric_only,1.0605106022850157,<=1.2,openml,financial/FOREX,True,8,stratified split,TTT 实际执行；ICLv2 有中等 headroom，TTT 可能修正也可能过拟合；下降幅度很小，更像局部样本波动；纯数值特征占主导；类别较均衡；FOREX 类存在时间序列/粒度效应，方向不稳定,FOREX hour/day 应分开建规则，不能一刀切使用 step8。,https://www.openml.org/search?type=data&status=active&id=41763&sort=runs,data178/FOREX_audcad-hour-High/info.json
mammography,ICLv2更高,iclv2_ensmble32,0.989718372820742,0.988377291014752,-0.1341081805990018,-2.999999999999672,weak,8946,2237,6,2,binclass,>0.95,5k-20k,<=10,2,6,0,numeric_only,42.011538461538464,>5,openml,other,True,8,stratified split,TTT 实际执行；ICLv2 已接近 ceiling，剩余 headroom 小；下降幅度很小，更像局部样本波动；纯数值特征占主导；类别不平衡明显,需要保护性选择器；不要在此类样本上无条件使用 step8。,https://www.openml.org/search?type=data&status=active&id=310&sort=runs,data178/mammography/info.json
BNG(cmc),ICLv2更高,iclv2_ensmble32,0.5874321880650994,0.5860759493670886,-0.1356238698010825,-14.99999999999973,medium,44236,11060,9,3,multiclass,<=0.6,>20k,<=10,3-5,2,7,mixed,1.893387964971479,1.2-2,openml,other,True,8,stratified split,TTT 实际执行；ICLv2 偏低，任务难度或分布偏移本身较强；下降幅度很小，更像局部样本波动；数值+类别混合，类别编码稳定性会影响 TTT,需要保护性选择器；不要在此类样本上无条件使用 step8。,https://www.openml.org/search?type=data&status=active&id=255&sort=runs,data178/BNG(cmc)/info.json
pol,ICLv2更高,iclv2_ensmble32,0.9940505701536936,0.992563212692117,-0.1487357461576577,-2.9999999999999565,weak,8065,2017,26,2,binclass,>0.95,5k-20k,11-30,2,26,0,numeric_only,1.0,<=1.2,openml,other,True,8,stratified split,TTT 实际执行；ICLv2 已接近 ceiling，剩余 headroom 小；下降幅度很小，更像局部样本波动；纯数值特征占主导；类别较均衡,需要保护性选择器；不要在此类样本上无条件使用 step8。,https://www.openml.org/search?type=data&status=active&id=44122&sort=runs,data178/pol/info.json
California-Housing-Classification,ICLv2更高,iclv2_ensmble32,0.9217538759689924,0.9200581395348836,-0.1695736434108807,-7.000000000001158,weak,16512,4128,8,2,binclass,0.9-0.95,5k-20k,<=10,2,8,0,numeric_only,1.0005815644082583,<=1.2,openml,business/customer/finance,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；下降幅度很小，更像局部样本波动；纯数值特征占主导；类别较均衡,需要保护性选择器；不要在此类样本上无条件使用 step8。,https://www.openml.org/search?type=data&status=active&id=45578&sort=runs,data178/California-Housing-Classification/info.json
thyroid-dis,ICLv2更高,iclv2_ensmble32,0.6982142857142857,0.6964285714285714,-0.1785714285714279,-0.9999999999999964,weak,2240,560,26,5,multiclass,0.6-0.7,1k-5k,11-30,3-5,6,20,mixed,52.645161290322584,>5,openml,scientific/health/environment,True,8,stratified split,TTT 实际执行；ICLv2 偏低，任务难度或分布偏移本身较强；下降幅度很小，更像局部样本波动；数值+类别混合，类别编码稳定性会影响 TTT；类别不平衡明显,净错样本很少；先用多 seed 判断是否为评测离散波动。,https://www.openml.org/search?type=data&status=active&id=40478&sort=runs,data178/thyroid-dis/info.json
wine,ICLv2更高,iclv2_ensmble32,0.786692759295499,0.7847358121330724,-0.1956947162426559,-0.9999999999999716,weak,2043,511,4,2,binclass,0.7-0.8,1k-5k,<=10,2,4,0,numeric_only,1.0,<=1.2,openml,business/customer/finance; scientific/health/environment,True,8,stratified split,TTT 实际执行；ICLv2 有中等 headroom，TTT 可能修正也可能过拟合；下降幅度很小，更像局部样本波动；纯数值特征占主导；类别较均衡,净错样本很少；先用多 seed 判断是否为评测离散波动。,https://www.openml.org/search?type=data&status=active&id=44091&sort=runs,data178/wine/info.json
Marketing_Campaign,ICLv2更高,iclv2_ensmble32,0.8839285714285714,0.8816964285714286,-0.2232142857142793,-0.9999999999999716,weak,1792,448,27,2,binclass,0.8-0.9,1k-5k,11-30,2,19,8,mixed,,unknown,kaggle,business/customer/finance,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；数值+类别混合，类别编码稳定性会影响 TTT,净错样本很少；先用多 seed 判断是否为评测离散波动。,https://www.kaggle.com/datasets/rodsaldanha/arketing-campaign,data178/Marketing_Campaign/info.json
Customer_Personality_Analysis,ICLv2更高,iclv2_ensmble32,0.890625,0.8883928571428571,-0.2232142857142904,-1.000000000000021,weak,1792,448,24,2,binclass,0.8-0.9,1k-5k,11-30,2,22,2,mixed,,unknown,kaggle,business/customer/finance,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；数值+类别混合，类别编码稳定性会影响 TTT,净错样本很少；先用多 seed 判断是否为评测离散波动。,https://www.kaggle.com/datasets/imakash3011/customer-personality-analysis,data178/Customer_Personality_Analysis/info.json
ringnorm,ICLv2更高,iclv2_ensmble32,0.9797297297297296,0.977027027027027,-0.2702702702702564,-3.999999999999795,weak,5920,1480,20,2,binclass,>0.95,5k-20k,11-30,2,20,0,numeric_only,1.019650655021834,<=1.2,openml,synthetic/rule-generated,True,8,stratified split,TTT 实际执行；ICLv2 已接近 ceiling，剩余 headroom 小；纯数值特征占主导；类别较均衡；规则/合成结构明显，TTT 容易放大边界校正也可能过拟合规则噪声,需要保护性选择器；不要在此类样本上无条件使用 step8。,https://www.openml.org/search?type=data&status=active&id=1496&sort=runs,data178/ringnorm/info.json
FOREX_audjpy-day-High,ICLv2更高,iclv2_ensmble32,0.7874659400544959,0.784741144414169,-0.2724795640326904,-0.999999999999974,weak,1465,367,10,2,binclass,0.7-0.8,1k-5k,<=10,2,10,0,numeric_only,1.0561167227833894,<=1.2,openml,financial/FOREX,True,8,stratified split,TTT 实际执行；ICLv2 有中等 headroom，TTT 可能修正也可能过拟合；test 较小，几个样本就能造成 pp 级变化；纯数值特征占主导；类别较均衡；FOREX 类存在时间序列/粒度效应，方向不稳定,净错样本很少；先用多 seed 判断是否为评测离散波动。,https://www.openml.org/search?type=data&status=active&id=41882&sort=runs,data178/FOREX_audjpy-day-High/info.json
FOREX_cadjpy-day-High,ICLv2更高,iclv2_ensmble32,0.7275204359673024,0.7247956403269755,-0.2724795640326904,-0.999999999999974,weak,1467,367,10,2,binclass,0.7-0.8,1k-5k,<=10,2,10,0,numeric_only,1.0065645514223194,<=1.2,openml,financial/FOREX,True,8,stratified split,TTT 实际执行；ICLv2 有中等 headroom，TTT 可能修正也可能过拟合；test 较小，几个样本就能造成 pp 级变化；纯数值特征占主导；类别较均衡；FOREX 类存在时间序列/粒度效应，方向不稳定,净错样本很少；先用多 seed 判断是否为评测离散波动。,https://www.openml.org/search?type=data&status=active&id=41839&sort=runs,data178/FOREX_cadjpy-day-High/info.json
telco-customer-churn,ICLv2更高,iclv2_ensmble32,0.8055358410220014,0.8026969481902059,-0.2838892831795503,-3.999999999999864,weak,5634,1409,18,2,binclass,0.8-0.9,5k-20k,11-30,2,3,15,mixed,2.7683253076511503,2-5,openml,business/customer/finance,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；数值+类别混合，类别编码稳定性会影响 TTT,需要保护性选择器；不要在此类样本上无条件使用 step8。,https://www.openml.org/search?type=data&status=active&id=42178&sort=runs,data178/telco-customer-churn/info.json
waveform_database_generator_version_1,ICLv2更高,iclv2_ensmble32,0.871,0.868,-0.3000000000000002,-3.0000000000000027,weak,4000,1000,21,3,multiclass,0.8-0.9,1k-5k,11-30,3-5,21,0,numeric_only,,unknown,uci,synthetic/rule-generated,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；纯数值特征占主导；规则/合成结构明显，TTT 容易放大边界校正也可能过拟合规则噪声,需要保护性选择器；不要在此类样本上无条件使用 step8。,https://archive.ics.uci.edu/dataset/107/waveform+database+generator+version+1,data178/waveform_database_generator_version_1/info.json
FOREX_audjpy-hour-High,ICLv2更高,iclv2_ensmble32,0.7220764403879064,0.7189960068454079,-0.3080433542498539,-26.9999999999997,medium,35060,8765,10,2,binclass,0.7-0.8,>20k,<=10,2,10,0,numeric_only,1.0619648066246354,<=1.2,openml,financial/FOREX,True,8,stratified split,TTT 实际执行；ICLv2 有中等 headroom，TTT 可能修正也可能过拟合；纯数值特征占主导；类别较均衡；FOREX 类存在时间序列/粒度效应，方向不稳定,FOREX hour/day 应分开建规则，不能一刀切使用 step8。,https://www.openml.org/search?type=data&status=active&id=41718&sort=runs,data178/FOREX_audjpy-hour-High/info.json
splice,ICLv2更高,iclv2_ensmble32,0.9608150470219436,0.957680250783699,-0.3134796238244641,-2.0000000000000813,weak,2552,638,60,3,multiclass,>0.95,1k-5k,31-80,3-5,0,60,categorical_only,2.1577574967405475,2-5,openml,scientific/health/environment; text/sequence/symbolic; vision/sensor/pattern,True,8,stratified split,TTT 实际执行；ICLv2 已接近 ceiling，剩余 headroom 小；纯类别特征，TTT 更依赖离散组合模式；视觉/传感器/模式类常有较强局部结构,需要保护性选择器；不要在此类样本上无条件使用 step8。,https://www.openml.org/search?type=data&status=active&id=46&sort=runs,data178/splice/info.json
cmc,ICLv2更高,iclv2_ensmble32,0.6033898305084746,0.6,-0.3389830508474634,-1.0000000000000169,weak,1178,295,9,3,multiclass,0.6-0.7,1k-5k,<=10,3-5,2,7,mixed,1.8888888888888888,1.2-2,openml,other,True,8,stratified split,TTT 实际执行；ICLv2 偏低，任务难度或分布偏移本身较强；test 较小，几个样本就能造成 pp 级变化；数值+类别混合，类别编码稳定性会影响 TTT,净错样本很少；先用多 seed 判断是否为评测离散波动。,https://www.openml.org/search?type=data&status=active&id=23&sort=runs,data178/cmc/info.json
pc4,ICLv2更高,iclv2_ensmble32,0.910958904109589,0.9075342465753424,-0.3424657534246589,-1.000000000000004,weak,1166,292,37,2,binclass,0.9-0.95,1k-5k,31-80,2,37,0,numeric_only,7.191011235955056,>5,openml,vision/sensor/pattern,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；test 较小，几个样本就能造成 pp 级变化；纯数值特征占主导；类别不平衡明显；视觉/传感器/模式类常有较强局部结构,净错样本很少；先用多 seed 判断是否为评测离散波动。,https://www.openml.org/search?type=data&status=active&id=1049&sort=runs,data178/pc4/info.json
ada,ICLv2更高,iclv2_ensmble32,0.8626506024096385,0.8590361445783132,-0.3614457831325302,-3.0000000000000004,weak,3317,830,48,2,binclass,0.8-0.9,1k-5k,31-80,2,48,0,numeric_only,3.0301263362487854,2-5,openml,other,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；纯数值特征占主导,需要保护性选择器；不要在此类样本上无条件使用 step8。,https://www.openml.org/search?type=data&status=active&id=41156&sort=runs,data178/ada/info.json
heloc,ICLv2更高,iclv2_ensmble32,0.733,0.729,-0.4000000000000003,-8.000000000000007,weak,8000,2000,22,2,binclass,0.7-0.8,5k-20k,11-30,2,22,0,numeric_only,1.0,<=1.2,openml,business/customer/finance,True,8,stratified split,TTT 实际执行；ICLv2 有中等 headroom，TTT 可能修正也可能过拟合；纯数值特征占主导；类别较均衡,需要保护性选择器；不要在此类样本上无条件使用 step8。,https://www.openml.org/search?type=data&status=active&id=45023&sort=runs,data178/heloc/info.json
wine-quality-white,ICLv2更高,iclv2_ensmble32,0.689795918367347,0.6857142857142857,-0.4081632653061273,-4.000000000000048,weak,3918,980,11,7,multiclass,0.6-0.7,1k-5k,11-30,6-10,11,0,numeric_only,439.6,>5,openml,scientific/health/environment,True,8,stratified split,TTT 实际执行；ICLv2 偏低，任务难度或分布偏移本身较强；纯数值特征占主导；类别不平衡明显,需要保护性选择器；不要在此类样本上无条件使用 step8。,https://www.openml.org/search?type=data&status=active&id=40498&sort=runs,data178/wine-quality-white/info.json
Employee,ICLv2更高,iclv2_ensmble32,0.8603651987110634,0.8560687432867884,-0.4296455424275036,-4.000000000000059,weak,3722,931,8,2,binclass,0.8-0.9,1k-5k,<=10,2,3,5,mixed,,unknown,kaggle,business/customer/finance,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；数值+类别混合，类别编码稳定性会影响 TTT,需要保护性选择器；不要在此类样本上无条件使用 step8。,https://www.kaggle.com/datasets/tawfikelmetwally/employee-dataset,data178/Employee/info.json
pc1,ICLv2更高,iclv2_ensmble32,0.945945945945946,0.9414414414414416,-0.4504504504504458,-0.9999999999999898,weak,887,222,21,2,binclass,0.9-0.95,<=1k,11-30,2,21,0,numeric_only,13.402597402597403,>5,openml,vision/sensor/pattern,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；test 较小，几个样本就能造成 pp 级变化；纯数值特征占主导；类别不平衡明显；视觉/传感器/模式类常有较强局部结构,净错样本很少；先用多 seed 判断是否为评测离散波动。,https://www.openml.org/search?type=data&status=active&id=1068&sort=runs,data178/pc1/info.json
autoUniv-au7-1100,ICLv2更高,iclv2_ensmble32,0.4090909090909091,0.4045454545454545,-0.454545454545463,-1.0000000000000189,weak,880,220,12,5,multiclass,<=0.6,<=1k,11-30,3-5,8,4,mixed,1.9934640522875817,1.2-2,openml,text/sequence/symbolic; synthetic/rule-generated,True,8,stratified split,TTT 实际执行；ICLv2 偏低，任务难度或分布偏移本身较强；test 较小，几个样本就能造成 pp 级变化；数值+类别混合，类别编码稳定性会影响 TTT；规则/合成结构明显，TTT 容易放大边界校正也可能过拟合规则噪声,净错样本很少；先用多 seed 判断是否为评测离散波动。,https://www.openml.org/search?type=data&status=active&id=1552&sort=runs,data178/autoUniv-au7-1100/info.json
phoneme,ICLv2更高,iclv2_ensmble32,0.9037927844588344,0.8991674375578168,-0.4625346901017568,-4.999999999999991,weak,4323,1081,5,2,binclass,0.9-0.95,1k-5k,<=10,2,5,0,numeric_only,2.407313997477932,2-5,openml,business/customer/finance; scientific/health/environment; synthetic/rule-generated,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；纯数值特征占主导；规则/合成结构明显，TTT 容易放大边界校正也可能过拟合规则噪声,需要保护性选择器；不要在此类样本上无条件使用 step8。,https://www.openml.org/search?type=data&status=active&id=1489&sort=runs,data178/phoneme/info.json
PieChart3,ICLv2更高,iclv2_ensmble32,0.8842592592592593,0.8796296296296297,-0.462962962962965,-1.0000000000000044,weak,861,216,37,2,binclass,0.8-0.9,<=1k,31-80,2,37,0,numeric_only,7.037313432835821,>5,openml,other,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；test 较小，几个样本就能造成 pp 级变化；纯数值特征占主导；类别不平衡明显,净错样本很少；先用多 seed 判断是否为评测离散波动。,https://www.openml.org/search?type=data&status=active&id=1453&sort=runs,data178/PieChart3/info.json
madeline,ICLv2更高,iclv2_ensmble32,0.9235668789808916,0.9187898089171974,-0.4777070063694211,-2.9999999999999645,weak,2512,628,259,2,binclass,0.9-0.95,1k-5k,>80,2,259,0,numeric_only,1.011531069827034,<=1.2,openml,other,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；纯数值特征占主导；类别较均衡,需要保护性选择器；不要在此类样本上无条件使用 step8。,https://www.openml.org/search?type=data&status=active&id=41144&sort=runs,data178/madeline/info.json
PizzaCutter3,ICLv2更高,iclv2_ensmble32,0.8851674641148325,0.8803827751196173,-0.4784688995215225,-0.999999999999982,weak,834,209,37,2,binclass,0.8-0.9,<=1k,31-80,2,37,0,numeric_only,7.21259842519685,>5,openml,other,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；test 较小，几个样本就能造成 pp 级变化；纯数值特征占主导；类别不平衡明显,净错样本很少；先用多 seed 判断是否为评测离散波动。,https://www.openml.org/search?type=data&status=active&id=1444&sort=runs,data178/PizzaCutter3/info.json
sports_articles_for_objectivity_analysis,ICLv2更高,iclv2_ensmble32,0.845,0.84,-0.5000000000000004,-1.0000000000000009,medium,800,200,59,2,binclass,0.8-0.9,<=1k,31-80,2,57,2,mixed,,unknown,uci,text/sequence/symbolic,True,8,stratified split,TTT 实际执行；ICLv2 处在中高准确率区间，有可校正边界且不是完全无结构；test 较小，几个样本就能造成 pp 级变化；数值+类别混合，类别编码稳定性会影响 TTT,净错样本很少；先用多 seed 判断是否为评测离散波动。,https://archive.ics.uci.edu/dataset/450/sports+articles+for+objectivity+analysis,data178/sports_articles_for_objectivity_analysis/info.json
FOREX_audchf-day-High,ICLv2更高,iclv2_ensmble32,0.7493188010899182,0.7438692098092643,-0.544959128065392,-1.999999999999989,medium,1466,367,10,2,binclass,0.7-0.8,1k-5k,<=10,2,10,0,numeric_only,1.0276548672566372,<=1.2,openml,financial/FOREX,True,8,stratified split,TTT 实际执行；ICLv2 有中等 headroom，TTT 可能修正也可能过拟合；test 较小，几个样本就能造成 pp 级变化；纯数值特征占主导；类别较均衡；FOREX 类存在时间序列/粒度效应，方向不稳定,净错样本很少；先用多 seed 判断是否为评测离散波动。,https://www.openml.org/search?type=data&status=active&id=41875&sort=runs,data178/FOREX_audchf-day-High/info.json
led24,ICLv2更高,iclv2_ensmble32,0.734375,0.728125,-0.6249999999999978,-3.999999999999986,medium,2560,640,24,10,multiclass,0.7-0.8,1k-5k,11-30,6-10,0,24,categorical_only,1.1385135135135136,<=1.2,openml,other,True,8,stratified split,TTT 实际执行；ICLv2 有中等 headroom，TTT 可能修正也可能过拟合；纯类别特征，TTT 更依赖离散组合模式；类别较均衡,需要保护性选择器；不要在此类样本上无条件使用 step8。,https://www.openml.org/search?type=data&status=active&id=40677&sort=runs,data178/led24/info.json
