dataset_name,accuracy_base,accuracy_ttt,delta_accuracy,delta_correct,accuracy_direction,n_train_base,n_val_base,n_test_base,n_features_base,n_classes_base,ttt_applied_bool,baseline_fallback_fill,true_ttt_accepted,ttt_steps,ttt_loss,ttt_update_seconds,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_split_reason,info_total_rows,info_train_size,info_val_size,info_test_size,info_n_features,info_n_num_features,info_n_cat_features,info_n_classes,info_imbalance_ratio,sample_size_bin,feature_count_bin,error_ttt
house_16H,0.8917716827279466,0.8921423276501111,0.0003706449221645425,0.9999999999999356,提升,10790,2158,2698,16,2,True,False,True,23,0.2519884333014488,926.9332296848296,30,1,epoch_chunk,0.8822984244670992,0.8873957367933272,15,True,full train set chunked per epoch | validation=dataset_val_split,13488,8632,2158,2698,16,16,0,2,1.0,5k-20k,11-30,
SDSS17,0.9776,0.97765,4.999999999999449e-05,0.9999999999998899,提升,80000,16000,20000,12,3,True,False,True,68,0.0880425109062343,8190.852625608444,30,4,epoch_chunk,0.9759375,0.976625,9,True,full train set chunked per epoch | validation=dataset_val_split,100000,64000,16000,20000,12,8,4,3,,20k-100k,11-30,
ASP-POTASSCO-classification,0.4903474903474903,0.4903474903474903,0.0,0.0,持平,1035,207,259,141,11,False,False,False,0,,0.8879561424255371,0,0,epoch_chunk,,,0,False,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=11 exceeds model max_classes=10,1294,828,207,259,141,140,1,11,12.285714285714286,1k-5k,101-300,
BNG(breast-w),0.9880619761239524,0.9880619761239524,0.0,0.0,持平,31492,6299,7874,9,2,True,False,True,44,0.0378288718638941,3667.1398146152496,30,2,epoch_chunk,0.9872995713605334,0.9884108588664868,14,True,full train set chunked per epoch | validation=dataset_val_split,39366,25193,6299,7874,9,9,0,2,1.9060977410305626,20k-100k,<=10,
BNG(cmc),0.5874321880650994,0.5874321880650994,0.0,0.0,持平,44236,8848,11060,9,3,False,True,False,0,,0.0,0,0,,,,0,False,,55296,35388,8848,11060,9,2,7,3,1.893387964971479,20k-100k,<=10,"baseline_fallback_from_iclv2_ensmble32; original_status: fail; original_error: OutOfMemoryError: CUDA out of memory. Tried to allocate 2.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 2.00 MiB is free. Process 44658 has 23.56 GiB memory in use. Of the allocated memory 19.64 GiB is allocated by PyTorch, and 3.61 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
Credit_c,0.81865,0.81865,0.0,0.0,持平,80000,16000,20000,22,3,False,True,False,0,,0.0,0,0,,,,0,False,,100000,64000,16000,20000,22,17,5,3,,20k-100k,11-30,"baseline_fallback_from_iclv2_ensmble32; original_status: fail; original_error: OutOfMemoryError: CUDA out of memory. Tried to allocate 80.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 50.00 MiB is free. Process 44659 has 23.51 GiB memory in use. Of the allocated memory 22.98 GiB is allocated by PyTorch, and 221.48 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
Diabetic_Retinopathy_Debrecen,0.7402597402597403,0.7402597402597403,0.0,0.0,持平,920,184,231,19,2,True,False,False,8,0.4126488789916038,20.10179734230041,30,1,epoch_chunk,0.75,0.75,0,True,full train set chunked per epoch | validation=dataset_val_split,1151,736,184,231,19,16,3,2,,1k-5k,11-30,
FICO-HELOC-cleaned,0.7549367088607595,0.7549367088607595,0.0,0.0,持平,7896,1580,1975,23,2,True,False,False,8,0.5204612705856562,224.13238787651065,30,1,epoch_chunk,0.7493670886075949,0.7493670886075949,0,True,full train set chunked per epoch | validation=dataset_val_split,9871,6316,1580,1975,23,21,2,2,1.0846884899683211,5k-20k,11-30,
FOREX_audcad-day-High,0.7465940054495913,0.7465940054495913,0.0,0.0,持平,1467,294,367,10,2,True,False,True,9,0.5418390743434429,25.30198693275452,30,1,epoch_chunk,0.7142857142857143,0.717687074829932,1,True,full train set chunked per epoch | validation=dataset_val_split,1834,1173,294,367,10,10,0,2,1.0310077519379846,1k-5k,<=10,
FOREX_audjpy-hour-High,0.7220764403879064,0.7220764403879064,0.0,0.0,持平,35060,7012,8765,10,2,True,False,False,16,0.56995496340096,1482.2604794502258,30,2,epoch_chunk,0.7191956645750143,0.7191956645750143,0,True,full train set chunked per epoch | validation=dataset_val_split,43825,28048,7012,8765,10,10,0,2,1.0619648066246354,20k-100k,<=10,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.678125,0.678125,0.0,0.0,持平,1280,256,320,20,2,True,False,True,12,0.6108961887657642,37.00019001960754,30,1,epoch_chunk,0.6484375,0.65625,4,True,full train set chunked per epoch | validation=dataset_val_split,1600,1024,256,320,20,0,20,2,1.0,1k-5k,11-30,
IBM_HR_Analytics_Employee_Attrition_and_Performance,0.8775510204081632,0.8775510204081632,0.0,0.0,持平,1176,236,294,31,2,True,False,False,8,0.3018402056768536,29.48820734024048,30,1,epoch_chunk,0.9110169491525424,0.9110169491525424,0,True,full train set chunked per epoch | validation=dataset_val_split,1470,940,236,294,31,25,6,2,,1k-5k,31-100,
INNHotelsGroup,0.9046175051688492,0.9046175051688492,0.0,0.0,持平,29020,5804,7255,17,2,False,True,False,0,,0.0,0,0,,,,0,False,,36275,23216,5804,7255,17,11,6,2,,20k-100k,11-30,"baseline_fallback_from_iclv2_ensmble32; original_status: fail; original_error: OutOfMemoryError: CUDA out of memory. Tried to allocate 40.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 24.00 MiB is free. Process 44658 has 23.54 GiB memory in use. Of the allocated memory 22.75 GiB is allocated by PyTorch, and 484.07 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
Indian_pines,0.9879715691634772,0.9879715691634772,0.0,0.0,持平,7315,1463,1829,220,8,False,True,False,0,,0.0,0,0,,,,0,False,,9144,5852,1463,1829,220,220,0,8,202.5,5k-20k,101-300,"baseline_fallback_from_iclv2_ensmble32; original_status: fail; original_error: OutOfMemoryError: CUDA out of memory. Tried to allocate 42.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 36.00 MiB is free. Process 44659 has 23.53 GiB memory in use. Of the allocated memory 23.10 GiB is allocated by PyTorch, and 120.62 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
JapaneseVowels,0.9994982438534872,0.9994982438534872,0.0,0.0,持平,7968,1594,1993,14,9,True,False,False,8,0.0142999623494688,193.12566137313843,30,1,epoch_chunk,0.9968632371392724,0.9968632371392724,0,True,full train set chunked per epoch | validation=dataset_val_split,9961,6374,1594,1993,14,14,0,9,2.0639386189258313,5k-20k,11-30,
KDDCup09_upselling,0.8109161793372319,0.8109161793372319,0.0,0.0,持平,4102,821,1026,49,2,True,False,False,8,0.3863673415035009,137.78117775917053,30,1,epoch_chunk,0.8136419001218027,0.8136419001218027,0,True,full train set chunked per epoch | validation=dataset_val_split,5128,3281,821,1026,49,34,15,2,1.0,5k-20k,31-100,
MIC,0.9090909090909092,0.9090909090909092,0.0,0.0,持平,1319,264,330,104,2,True,False,False,8,0.2978144427761435,68.77706146240234,30,1,epoch_chunk,0.8712121212121212,0.8712121212121212,0,True,full train set chunked per epoch | validation=dataset_val_split,1649,1055,264,330,104,9,95,2,5.416342412451362,1k-5k,101-300,
Marketing_Campaign,0.8839285714285714,0.8839285714285714,0.0,0.0,持平,1792,359,448,27,2,True,False,False,8,0.2143178270198404,36.75160026550293,30,1,epoch_chunk,0.9108635097493036,0.9108635097493036,0,True,full train set chunked per epoch | validation=dataset_val_split,2240,1433,359,448,27,19,8,2,,1k-5k,11-30,
Mobile_Price_Classification,0.965,0.965,0.0,0.0,持平,1600,320,400,20,4,True,False,False,8,0.1080038710497319,29.46640110015869,30,1,epoch_chunk,0.965625,0.965625,0,True,full train set chunked per epoch | validation=dataset_val_split,2000,1280,320,400,20,14,6,4,,1k-5k,11-30,
National_Health_and_Nutrition_Health_Survey,0.8333333333333334,0.8333333333333334,0.0,0.0,持平,1822,365,456,7,2,True,False,False,8,0.3817887660115957,22.62435269355774,30,1,epoch_chunk,0.8547945205479452,0.8547945205479452,0,True,full train set chunked per epoch | validation=dataset_val_split,2278,1457,365,456,7,7,0,2,,1k-5k,<=10,
PieChart3,0.8842592592592593,0.8842592592592593,0.0,0.0,持平,861,173,216,37,2,True,False,True,10,0.2598444279283285,31.82148766517639,30,1,epoch_chunk,0.8728323699421965,0.8786127167630058,2,True,full train set chunked per epoch | validation=dataset_val_split,1077,688,173,216,37,37,0,2,7.037313432835821,1k-5k,31-100,
Pima_Indians_Diabetes_Database,0.7272727272727273,0.7272727272727273,0.0,0.0,持平,614,123,154,8,2,True,False,False,8,0.5465328674763441,15.291364192962646,30,1,epoch_chunk,0.7723577235772358,0.7723577235772358,0,True,full train set chunked per epoch | validation=dataset_val_split,768,491,123,154,8,8,0,2,,<=1k,<=10,
Rain_in_Australia,0.8577272102296164,0.8577272102296164,0.0,0.0,持平,116368,23274,29092,18,3,False,True,False,0,,0.0,0,0,,,,0,False,,145460,93094,23274,29092,18,12,6,3,,>100k,11-30,"baseline_fallback_from_iclv2_ensmble32; original_status: fail; original_error: OutOfMemoryError: CUDA out of memory. Tried to allocate 40.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 30.00 MiB is free. Process 44658 has 23.53 GiB memory in use. Of the allocated memory 22.74 GiB is allocated by PyTorch, and 491.06 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
Satellite,0.9931372549019608,0.9931372549019608,0.0,0.0,持平,4080,816,1020,36,2,True,False,False,8,0.0065205784485442,109.54398560523988,30,1,epoch_chunk,0.9963235294117648,0.9963235294117648,0,True,full train set chunked per epoch | validation=dataset_val_split,5100,3264,816,1020,36,36,0,2,67.0,5k-20k,31-100,
Telecom_Churn_Dataset,0.9610194902548724,0.9610194902548724,0.0,0.0,持平,2666,534,667,17,2,True,False,False,8,0.0993414411786943,49.42776036262512,30,1,epoch_chunk,0.9644194756554308,0.9644194756554308,0,True,full train set chunked per epoch | validation=dataset_val_split,3333,2132,534,667,17,14,3,2,,1k-5k,11-30,
