dataset_name,group,winner,change_strength,delta_pp,delta_correct_est,acc_iclv2_ensmble32,acc_ttt_step8,task_type_iclv2_ensmble32,task_type_json,train_size_json,val_size_json,test_size_json,total_size_json,train_size_bin,test_size_bin,n_num_features_json,n_cat_features_json,total_features_json,feature_modality,feature_count_bin,n_features_iclv2_ensmble32,feature_count_mismatch,class_count_json,n_classes_iclv2_ensmble32,class_count_bin,class_count_mismatch,imbalance_ratio,imbalance_bin,source_family,domain_tag,ttt_applied,ttt_steps,ttt_lr,ttt_update_seconds,ttt_execution_group,ttt_split_strategy,ttt_split_reason,source,openml_id,task_intro,num_feature_intro,cat_feature_intro,feature_intro,target_intro,dataset_analysis,info_json_path,info_json_missing
page-blocks,TTT step8更高,ttt_step8,weak_gain_<0.2pp,0.09132420091325644,1.000000000000158,0.9771689497716894,0.978082191780822,multiclass,multiclass,3502,876,1095,5473,medium_1.5k-5k,medium_500-2k,10,0,10,numeric_only,low_dim_<=10,10,False,5,5,multi_3-5,False,175.46428571428572,extreme_>10,openml,general_tabular,True,8,5e-06,30.64147472381592,TTT执行,stratified,stratified split,https://www.openml.org/search?type=data&status=active&id=30&sort=runs,30,"**Author**:   
**Source**: Unknown -   
**Please cite**:   

1. Title of Database: Blocks Classification
 2. Sources:
    (a) Donato Malerba
        Dipartimento di Informatica
        University of Bari
        via Orabona 4
        70126 Bari - Italy
        phone: +39 - 80 - 5443269
        fax: +39 - 80 - 5443196
        malerbad@vm.csata.it
    (b) Donor: Donato Malerba
    (c) Date: July 1995
 3. Past Usage:
    This data set have been used to try different simplification methods
    for decision trees. A summary of the results can be found in:
 
    Malerba, D., Esposito, F., and Semeraro, G.
    ""A Further Comparison of Simplification Methods for Decision-Tree Induction.""
    In D. Fisher and H. Lenz (Eds.), ""Learning  from Data: 
    Artificial Intelligence and Statistics V"", Lecture Notes in Statistics,
    Springer Verlag, Berlin, 1995.
 
    The problem consists in classifying all the blocks of the page
    layout of a document that has been detected by a segmentation
    process. This is an essential step in document analysis
    in order to separate text from graphic areas. Indeed, 
    the five classes are: text (1), horizontal line (2),
    picture (3), vertical line (4) and graphic (5).
    For a detailed presentation of the problem see:
 
     Esposito F., Malerba D., & Semeraro G.
   Multistrategy Learning for Document Recognition
          Applied Artificial Intelligence, 8, pp. 33-84, 1994
 
    All instances have been personally checked so that
    low noise is present in the data.
 
 4. Relevant Information Paragraph:
 
    The 5473 examples comes from 54 distinct documents. 
    Each observation concerns one block. 
    All attributes are numeric.
    Data are in a format readable by C4.5.
 
 5. Number of Instances: 5473.
 
 6. Number of Attributes 
 
    height:   integer.         | Height of the block.
    lenght:   integer.     | Length of the block. 
    area:     integer.    | Area of the block (height * lenght);
    eccen:    continuous.  | Eccentricity of the block (lenght / height);
    p_black:  continuous.  | Percentage of black pixels within the block (blackpix / area);
    p_and:    continuous.        | Percentage of black pixels after the application of the Run Length Smoothing Algorithm (RLSA) (blackand / area);
    mean_tr:  continuous.      | Mean number of white-black transitions (blackpix / wb_trans);
    blackpix: integer.    | Total number of black pixels in the original bitmap of the block.
    blackand: integer.        | Total number of black pixels in the bitmap of the block after the RLSA.
    wb_trans: integer.          | Number of white-black transitions in the original bitmap of the block.
 
 
 
 7. Missing Attribute Values:  No missing value.
 
 8. Class Distribution: 
 
                                            Valid    Cum
    Class               Frequency  Percent  Percent  Percent
  
 text                      4913     89.8     89.8     89.8
 horiz. line                329      6.0      6.0     95.8
 graphic                     28       .5       .5     96.3
 vert. line                  88      1.6      1.6     97.9
 picture                    115      2.1      2.1    100.0
                                 -------  -------  -------
                         TOTAL      5473    100.0    100.0
 
 Summary Statistics:
 
 Variable      Mean    Std Dev   Minimum   Maximum   Correlation 
 
 HEIGHT       10.47      18.96         1       804         .3510
 LENGTH       89.57     114.72         1       553        -.0045
 AREA       1198.41    4849.38         7    143993         .2343
 ECCEN        13.75      30.70      .007    537.00         .0992
 P_BLACK        .37        .18      .052      1.00         .2130
 P_AND          .79        .17      .062      1.00        -.1771
 MEAN_TR       6.22      69.08      1.00   4955.00         .0723
 BLACKPIX    365.93    1270.33         7     33017         .1656
 BLACKAND    741.11    1881.50         7     46133         .1565
 WB_TRANS    106.66     167.31         1      3212         .0337
 

 Information about the dataset
 CLASSTYPE: nominal
 CLASSINDEX: last","{'height': 'height', 'lenght': 'lenght', 'area': 'area', 'eccen': 'eccen', 'p_black': 'p_black', 'p_and': 'p_and', 'mean_tr': 'mean_tr', 'blackpix': 'blackpix', 'blackand': 'blackand', 'wb_trans': 'wb_trans'}",{},missing,missing,"TTT step8 提升 +0.0913 pp；TTT执行；高基线接近天花板；数据形态 medium_1.5k-5k, low_dim_<=10, multi_3-5, numeric_only。",data178/page-blocks/info.json,False
turiye_student_evaluation,TTT step8更高,ttt_step8,weak_gain_<0.2pp,0.0859106529209619,0.9999999999999964,0.5197594501718213,0.520618556701031,multiclass,multiclass,3724,932,1164,5820,medium_1.5k-5k,medium_500-2k,30,2,32,mixed_num_cat,mid_dim_11-50,32,False,5,5,multi_3-5,False,,missing,uci,education_hr_social,True,8,5e-06,37.288901805877686,TTT执行,stratified,stratified split,https://archive.ics.uci.edu/dataset/262/turkiye+student+evaluation,missing,missing,missing,missing,missing,missing,"TTT step8 提升 +0.0859 pp；TTT执行；低基线/高难度；数据形态 medium_1.5k-5k, mid_dim_11-50, multi_3-5, mixed_num_cat。",data178/turiye_student_evaluation/info.json,False
INNHotelsGroup,TTT step8更高,ttt_step8,weak_gain_<0.2pp,0.08270158511369807,5.999999999998796,0.9046175051688492,0.9054445210199862,binclass,binclass,23216,5804,7255,36275,very_large_>=20k,large_2k-10k,11,6,17,mixed_num_cat,mid_dim_11-50,17,False,2,2,binary,False,,missing,kaggle,general_tabular,True,8,5e-06,734.3169543743134,TTT执行,stratified,stratified split,https://www.kaggle.com/datasets/mariyamalshatta/inn-hotels-group,missing,missing,missing,missing,missing,missing,"TTT step8 提升 +0.0827 pp；TTT执行；中等headroom；数据形态 very_large_>=20k, mid_dim_11-50, binary, mixed_num_cat。",data178/INNHotelsGroup/info.json,False
delta_ailerons,TTT step8更高,ttt_step8,weak_gain_<0.2pp,0.07012622720895534,0.9999999999997031,0.953015427769986,0.9537166900420756,binclass,binclass,4562,1141,1426,7129,medium_1.5k-5k,medium_500-2k,5,0,5,numeric_only,low_dim_<=10,5,False,2,2,binary,False,1.1306037059175136,balanced_<=1.5,openml,general_tabular,True,8,5e-06,28.042682886123657,TTT执行,stratified,stratified split,https://www.openml.org/search?type=data&status=active&id=803&sort=runs,803,"**Author**:   
**Source**: Unknown - Date unknown  
**Please cite**:   

Binarized version of the original data set (see version 1). It converts the numeric target feature to a two-class nominal target feature by computing the mean and classifying all instances with a lower target value as positive ('P') and all others as negative ('N').","{'RollRate': 'RollRate', 'PitchRate': 'PitchRate', 'currPitch': 'currPitch', 'currRoll': 'currRoll', 'diffRollRate': 'diffRollRate'}",{},missing,missing,"TTT step8 提升 +0.0701 pp；TTT执行；高基线接近天花板；数据形态 medium_1.5k-5k, low_dim_<=10, binary, numeric_only。",data178/delta_ailerons/info.json,False
FOREX_cadjpy-hour-High,TTT step8更高,ttt_step8,weak_gain_<0.2pp,0.057045065601823985,4.999999999999872,0.7159155733029093,0.7164860239589276,binclass,binclass,28048,7012,8765,43825,very_large_>=20k,large_2k-10k,10,0,10,numeric_only,low_dim_<=10,10,False,2,2,binary,False,1.0738690138179066,balanced_<=1.5,openml,finance_credit,True,8,5e-06,1047.2821295261383,TTT执行,stratified,stratified split,https://www.openml.org/search?type=data&status=active&id=41833&sort=runs,41833,"**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/
**Edited by**: Fabian Schut
 
# Data Description
This is the historical price data of the FOREX CAD/JPY from Dukascopy.
One instance (row) is one candlestick of one hour.
The whole dataset has the data range from 1-1-2018 to 13-12-2018 and does not include the weekends, since the FOREX is not traded in the weekend.
The timezone of the feature Timestamp is Europe/Amsterdam.
The class attribute is the direction of the mean of the High_Bid and the High_Ask of the following hour,
relative to the High_Bid and High_Ask mean of the current minute.
This means the class attribute is True when the mean High price is going up the following hour,
and the class attribute is False when the mean High price is going down (or stays the same) the following hour.
**Note that this is a hypothetical task, meant for scientific purposes only. Realistic trade strategies can only be applied to predictions on 'Close'-attributes (also available).
# Attributes 
`Timestamp`: The time of the current data point (Europe/Amsterdam)
`Bid_Open`: The bid price at the start of this time interval
`Bid_High`: The highest bid price during this time interval
`Bid_Low`: The lowest bid price during this time interval
`Bid_Close`: The bid price at the end of this time interval
`Bid_Volume`: The number of times the Bid Price changed within this time interval
`Ask_Open`: The ask price at the start of this time interval
`Ask_High`: The highest ask price during this time interval
`Ask_Low`: The lowest ask price during this time interval
`Ask_Close`: The ask price at the end of this time interval
`Ask_Volume`: The number of times the Ask Price changed within this time interval
`Class`: Whether the average price will go up during the next interval","{'Bid_Open': 'Bid_Open', 'Bid_High': 'Bid_High', 'Bid_Low': 'Bid_Low', 'Bid_Close': 'Bid_Close', 'Bid_Volume': 'Bid_Volume', 'Ask_Open': 'Ask_Open', 'Ask_High': 'Ask_High', 'Ask_Low': 'Ask_Low', 'Ask_Close': 'Ask_Close', 'Ask_Volume': 'Ask_Volume'}",{},missing,missing,"TTT step8 提升 +0.0570 pp；TTT执行；低基线/高难度；数据形态 very_large_>=20k, low_dim_<=10, binary, numeric_only。",data178/FOREX_cadjpy-hour-High/info.json,False
FICO-HELOC-cleaned,TTT step8更高,ttt_step8,weak_gain_<0.2pp,0.050632911392411994,1.0000000000001368,0.7549367088607595,0.7554430379746836,binclass,binclass,6316,1580,1975,9871,large_5k-20k,medium_500-2k,21,2,23,mixed_num_cat,mid_dim_11-50,23,False,2,2,binary,False,1.0846884899683211,balanced_<=1.5,openml,web_text_security,True,8,5e-06,76.66311764717102,TTT执行,stratified,stratified split,https://www.openml.org/search?type=data&status=active&id=45553&sort=runs,45553,"This dataset is from the ""Explainable Machine Learning Challenge"":

> The Explainable Machine Learning Challenge is a collaboration between Google, FICO and academics at Berkeley, Oxford, Imperial, UC Irvine and MIT, to generate new research in the area of algorithmic explainability. Teams will be challenged to create machine learning models with both high accuracy and explainability; they will use a real-world financial dataset provided by FICO. Designers and end users of machine learning algorithms will both benefit from more interpretable and explainable algorithms. Machine learning model designers will benefit from Model explanations, written explanations describing the functioning of a trained model. These might include information about which variables or examples are particularly important, they might explain the logic used by an algorithm, and/or characterize input/output relationships between variables and predictions. We expect teams to tell the story of their model such that these explanations will be qualitatively evaluated by data scientists at FICO.

Further information can be retrieved from the [FICO website](https://community.fico.com/s/explainable-machine-learning-challenge).

**Notes**
* We have obtained the dataset from [Kaggle](https://www.kaggle.com/datasets/averkiyoliabev/home-equity-line-of-creditheloc)
* This is a cleaned version of the Kaggle dataset, in which we have removed all rows that only contained `-9`, a special value according to the FAQ.
* Please request access to the data on the FICO website to obtain the full description of the features.
* In this version we have encoded the special values (-9, -8, -7) as missing values to make the data more amenable to non-tree models.","{'ExternalRiskEstimate': 'ExternalRiskEstimate', 'MSinceOldestTradeOpen': 'MSinceOldestTradeOpen', 'MSinceMostRecentTradeOpen': 'MSinceMostRecentTradeOpen', 'AverageMInFile': 'AverageMInFile', 'NumSatisfactoryTrades': 'NumSatisfactoryTrades', 'NumTrades60Ever2DerogPubRec': 'NumTrades60Ever2DerogPubRec', 'NumTrades90Ever2DerogPubRec': 'NumTrades90Ever2DerogPubRec', 'PercentTradesNeverDelq': 'PercentTradesNeverDelq', 'MSinceMostRecentDelq': 'MSinceMostRecentDelq', 'NumTotalTrades': 'NumTotalTrades', 'NumTradesOpeninLast12M': 'NumTradesOpeninLast12M', 'PercentInstallTrades': 'PercentInstallTrades', 'MSinceMostRecentInqexcl7days': 'MSinceMostRecentInqexcl7days', 'NumInqLast6M': 'NumInqLast6M', 'NumInqLast6Mexcl7days': 'NumInqLast6Mexcl7days', 'NetFractionRevolvingBurden': 'NetFractionRevolvingBurden', 'NetFractionInstallBurden': 'NetFractionInstallBurden', 'NumRevolvingTradesWBalance': 'NumRevolvingTradesWBalance', 'NumInstallTradesWBalance': 'NumInstallTradesWBalance', 'NumBank2NatlTradesWHighUtilization': 'NumBank2NatlTradesWHighUtilization', 'PercentTradesWBalance': 'PercentTradesWBalance'}","{'MaxDelq2PublicRecLast12M': 'MaxDelq2PublicRecLast12M', 'MaxDelqEver': 'MaxDelqEver'}",missing,missing,"TTT step8 提升 +0.0506 pp；TTT执行；低基线/高难度；数据形态 large_5k-20k, mid_dim_11-50, binary, mixed_num_cat。",data178/FICO-HELOC-cleaned/info.json,False
JapaneseVowels,TTT step8更高,ttt_step8,weak_gain_<0.2pp,0.050175614651282174,1.0000000000000537,0.9994982438534872,1.0,multiclass,multiclass,6374,1594,1993,9961,large_5k-20k,medium_500-2k,14,0,14,numeric_only,mid_dim_11-50,14,False,9,9,multi_6-10,False,2.0639386189258313,mild_1.5-3,openml,general_tabular,True,8,5e-06,74.30772542953491,TTT执行,stratified,stratified split,https://www.openml.org/search?type=data&status=active&id=375&sort=runs,375,"**Author**: Mineichi Kudo, Jun Toyama, Masaru Shimbo    
**Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/Japanese+Vowels)    
**Please cite**:   

**Japanese vowels**  
This dataset records 640 time series of 12 LPC cepstrum coefficients taken from nine male speakers.

The data was collected for examining our newly developed classifier for multidimensional curves (multidimensional time series). Nine male speakers uttered two Japanese vowels /ae/ successively. For each utterance, with the analysis parameters described below, we applied 12-degree linear prediction analysis to it to obtain a discrete-time series with 12 LPC cepstrum coefficients. This means that one utterance by a speaker forms a time series whose length is in the range 7-29 and each point of a time series is of 12 features (12 coefficients).

Similar data are available for different utterances /ei/, /iu/, /uo/, /oa/ in addition to /ae/. Please contact the donor if you are interested in using this data.

The number of the time series is 640 in total. We used one set of 270 time series for training and the other set of 370 time series for testing.

Analysis parameters:  
* Sampling rate : 10kHz
* Frame length : 25.6 ms
* Shift length : 6.4ms
* Degree of LPC coefficients : 12

Each line represents 12 LPC coefficients in the increasing order separated by spaces. This corresponds to one analysis
frame. Lines are organized into blocks, which are a set of 7-29 lines separated by blank lines and corresponds to a single speech utterance of /ae/ with 7-29 frames.

Each speaker is a set of consecutive blocks. In ae.train there are 30 blocks for each speaker. Blocks 1-30 represent speaker 1, blocks 31-60 represent speaker 2, and so on up to speaker 9. In ae.test, speakers 1 to 9 have the corresponding number of blocks: 31 35 88 44 29 24 40 50 29. Thus, blocks 1-31 represent speaker 1 (31 utterances of /ae/), blocks 32-66 represent speaker 2 (35 utterances of /ae/), and so on.

**Past Usage**

M. Kudo, J. Toyama and M. Shimbo. (1999). ""Multidimensional Curve Classification Using Passing-Through Regions"". Pattern Recognition Letters, Vol. 20, No. 11--13, pages 1103--1111.

If you publish any work using the dataset, please inform the donor. Use for commercial purposes requires donor permission.

References  

1. http://ips9.main.eng.hokudai.ac.jp/index_e.html
2. mailto:mine@main.eng.hokudai.ac.jp
3. mailto:jun@main.eng.hokudai.ac.jp
4. mailto:shimbo@main.eng.hokudai.ac.jp
5. http://kdd.ics.uci.edu/
6. http://www.ics.uci.edu/
7. http://www.uci.edu/","{'utterance': 'utterance', 'frame': 'frame', 'coefficient1': 'coefficient1', 'coefficient2': 'coefficient2', 'coefficient3': 'coefficient3', 'coefficient4': 'coefficient4', 'coefficient5': 'coefficient5', 'coefficient6': 'coefficient6', 'coefficient7': 'coefficient7', 'coefficient8': 'coefficient8', 'coefficient9': 'coefficient9', 'coefficient10': 'coefficient10', 'coefficient11': 'coefficient11', 'coefficient12': 'coefficient12'}",{},missing,missing,"TTT step8 提升 +0.0502 pp；TTT执行；高基线接近天花板；数据形态 large_5k-20k, mid_dim_11-50, multi_6-10, numeric_only。",data178/JapaneseVowels/info.json,False
Amazon_employee_access,TTT step8更高,ttt_step8,weak_gain_<0.2pp,0.030515715593537607,2.0000000000004547,0.9441562404638388,0.9444613976197742,binclass,binclass,20972,5243,6554,32769,very_large_>=20k,large_2k-10k,0,7,7,categorical_only,low_dim_<=10,7,False,2,2,binary,False,16.274117026884554,extreme_>10,openml,web_text_security;software_quality;education_hr_social,True,8,5e-06,497.7462759017944,TTT执行,stratified,stratified split,https://www.openml.org/search?type=data&status=active&id=4135&sort=runs,4135,"**Author**:   
**Source**: [Kaggle Amazon Employee Access Challenge](https://www.kaggle.com/c/amazon-employee-access-challenge)  
**Please cite**:   

### Description

The data consists of real historical data collected from 2010 & 2011.  Employees are manually allowed or denied access to resources over time. 
The data is used to create an algorithm capable of learning from this historical data to predict approval/denial for an unseen set of employees.

### Dataset Information

When an employee at any company starts work, they first need to obtain the computer access necessary to fulfill their role. This access may allow an employee to read/manipulate resources through various applications or web portals. It is assumed that employees fulfilling the functions of a given role will access the same or similar resources. It is often the case that employees figure out the access they need as they encounter roadblocks during their daily work (e.g. not able to log into a reporting portal). A knowledgeable supervisor then takes time to manually grant the needed access in order to overcome access obstacles. As employees move throughout a company, this access discovery/recovery cycle wastes a non-trivial amount of time and money.

There is a considerable amount of data regarding an employee&rsquo;s role within an organization and the resources to which they have access. Given the data related to current employees and their provisioned access, models can be built that automatically determine access privileges as employees enter and leave roles within a company. These auto-access models seek to minimize the human involvement required to grant or revoke employee access.

The original training and test set were merged.

### Attributes Information

* ACTION [target]: ACTION is 1 if the resource was approved, 0 if the resource was not  
* RESOURCE: An ID for each resource  
* MGR_ID: The EMPLOYEE ID of the manager of the current EMPLOYEE ID record; an employee may have only one manager at a time  
* ROLE_ROLLUP_1: Company role grouping category id 1 (e.g. US Engineering)  
* ROLE_ROLLUP_2: Company role grouping category id 2 (e.g. US Retail)  
* ROLE_DEPTNAME: Company role department description (e.g. Retail)  
* ROLE_TITLE: Company role business title description (e.g. Senior Engineering Retail Manager)  
* ROLE_FAMILY_DESC: Company role family extended description (e.g. Retail Manager, Software Engineering)  
* ROLE_FAMILY: Company role family description (e.g. Retail Manager)  
* ROLE_CODE: Company role code; this code is unique to each role (e.g. Manager)",{},"{'ROLE_ROLLUP_1': 'ROLE_ROLLUP_1', 'ROLE_ROLLUP_2': 'ROLE_ROLLUP_2', 'ROLE_DEPTNAME': 'ROLE_DEPTNAME', 'ROLE_TITLE': 'ROLE_TITLE', 'ROLE_FAMILY_DESC': 'ROLE_FAMILY_DESC', 'ROLE_FAMILY': 'ROLE_FAMILY', 'ROLE_CODE': 'ROLE_CODE'}",missing,missing,"TTT step8 提升 +0.0305 pp；TTT执行；中等headroom；数据形态 very_large_>=20k, low_dim_<=10, binary, categorical_only。",data178/Amazon_employee_access/info.json,False
HR_Analytics_Job_Change_of_Data_Scientists,TTT step8更高,ttt_step8,weak_gain_<0.2pp,0.026096033402922547,0.999999999999992,0.8006263048016702,0.8008872651356994,binclass,binclass,12260,3066,3832,19158,large_5k-20k,large_2k-10k,3,10,13,mixed_num_cat,mid_dim_11-50,13,False,2,2,binary,False,,missing,kaggle,education_hr_social,True,8,5e-06,222.88245296478271,TTT执行,stratified,stratified split,https://www.kaggle.com/datasets/arashnic/hr-analytics-job-change-of-data-scientists,missing,missing,missing,missing,missing,missing,"TTT step8 提升 +0.0261 pp；TTT执行；中等headroom；数据形态 large_5k-20k, mid_dim_11-50, binary, mixed_num_cat。",data178/HR_Analytics_Job_Change_of_Data_Scientists/info.json,False
BNG(breast-w),TTT step8更高,ttt_step8,weak_gain_<0.2pp,0.025400050800084006,1.9999999999986147,0.9880619761239524,0.9883159766319533,binclass,binclass,25193,6299,7874,39366,very_large_>=20k,large_2k-10k,9,0,9,numeric_only,low_dim_<=10,9,False,2,2,binary,False,1.9060977410305626,mild_1.5-3,openml,general_tabular,True,8,5e-06,851.2675440311432,TTT执行,stratified,stratified split,https://www.openml.org/search?type=data&status=active&id=251&sort=runs,251,missing,"{'Clump_Thickness': 'Clump_Thickness', 'Cell_Size_Uniformity': 'Cell_Size_Uniformity', 'Cell_Shape_Uniformity': 'Cell_Shape_Uniformity', 'Marginal_Adhesion': 'Marginal_Adhesion', 'Single_Epi_Cell_Size': 'Single_Epi_Cell_Size', 'Bare_Nuclei': 'Bare_Nuclei', 'Bland_Chromatin': 'Bland_Chromatin', 'Normal_Nucleoli': 'Normal_Nucleoli', 'Mitoses': 'Mitoses'}",{},missing,missing,"TTT step8 提升 +0.0254 pp；TTT执行；高基线接近天花板；数据形态 very_large_>=20k, low_dim_<=10, binary, numeric_only。",data178/BNG(breast-w)/info.json,False
shuttle,TTT step8更高,ttt_step8,weak_gain_<0.2pp,0.008620689655181035,1.000000000001,0.9993103448275862,0.999396551724138,multiclass,multiclass,37120,9280,11600,58000,very_large_>=20k,very_large_>=10k,9,0,9,numeric_only,low_dim_<=10,9,False,7,7,multi_6-10,False,4558.6,extreme_>10,openml,general_tabular,True,8,5e-06,1791.7390100955963,TTT执行,stratified,stratified split,https://www.openml.org/search?type=data&status=active&id=40685&sort=runs,40685,"Source: [UCI](https://archive.ics.uci.edu/ml/datasets/Statlog+(Shuttle))

Donor:

Jason Catlett
Basser Department of Computer Science,
University of Sydney, N.S.W., Australia



Data Set Information:

Approximately 80% of the data belongs to class 1. Therefore the default accuracy is about 80%. The aim here is to obtain an accuracy of 99 - 99.9%.

The examples in the original dataset were in time order, and this time order could presumably be relevant in classification. However, this was not deemed relevant for StatLog purposes, so the order of the examples in the original dataset was randomised, and a portion of the original dataset removed for validation purposes.


Attribute Information:

The shuttle dataset contains 9 attributes all of which are numerical. The first one being time. The last column is the class which has been coded as follows :
1 Rad Flow
2 Fpv Close
3 Fpv Open
4 High
5 Bypass
6 Bpv Close
7 Bpv Open


Relevant Papers:

N/A","{'A1': 'A1', 'A2': 'A2', 'A3': 'A3', 'A4': 'A4', 'A5': 'A5', 'A6': 'A6', 'A7': 'A7', 'A8': 'A8', 'A9': 'A9'}",{},missing,missing,"TTT step8 提升 +0.0086 pp；TTT执行；高基线接近天花板；数据形态 very_large_>=20k, low_dim_<=10, multi_6-10, numeric_only。",data178/shuttle/info.json,False
